Key,Item Type,Publication Year,Author,Title,Date,Num Pages,Short Title,Publisher,Place,,Call Number,Link Attachments,Manual Tags,Automatic Tags
4PV6ED9T,book,2000,"Kleinschmidt, Harald",Understanding the middle ages: the transformation of ideas and attitudes in the medieval world,2000,401,Understanding the middle ages,Boydell Press,"Woodbridge, UK","52.0941323,1.3199383",,https://catalog.libraries.psu.edu/catalog/2023020,physical,"History; Europe; Civilization, Medieval; Group identity; Medieval, 500-1500; Philosophy, Medieval; Social history; Written communication"
4PV6ED9T,book,2000,"Kleinschmidt, Harald",Understanding the middle ages: the transformation of ideas and attitudes in the medieval world,2000,401,Understanding the middle ages,Boydell Press,"Rochester, NY","43.157285,-77.615214",,https://catalog.libraries.psu.edu/catalog/2023020,physical,"History; Europe; Civilization, Medieval; Group identity; Medieval, 500-1500; Philosophy, Medieval; Social history; Written communication"
VPE6WK2M,book,2004,"Cook, William R.; Herzman, Ronald B.",The medieval world view: an introduction,2004,325,The medieval world view,Oxford University Press,New York,"40.7127281,-74.0060152",CB351 .C58 2004,https://catalog.libraries.psu.edu/catalog/2474266,physical,"Civilization, Medieval"
7JDF9VQE,book,1976,"Erickson, Carolly",The medieval vision: essays in history and perception,1976,247,The medieval vision,Oxford University Press,New York,"40.7127281,-74.0060152",CB351 .E76,https://catalog.libraries.psu.edu/catalog/1178252,physical,"Civilization, Medieval; Middle Ages, 600-1500; Religious thought"
CQB4GHHJ,book,1973,"Cantor, Norman F.",The meaning of the Middle Ages: a sociological and cultural history,1973,321,The meaning of the Middle Ages,Allyn and Bacon,Boston,"42.3554334,-71.060511",CB351 .C25,https://catalog.libraries.psu.edu/catalog/1159796,physical,"Civilization, Medieval"
7Q92HVDW,book,1957,"Laistner, M. L. W.",The intellectual heritage of the early Middle Ages,1957,285,Intellectual Heritage Early Middle Ages,Octagon Books,New York,"40.7127281,-74.0060152",CB351 .L26 1966,https://catalog.libraries.psu.edu/catalog/1159800,physical,Intellectual life; Middle Ages
CDV7CVAP,book,1926,"Jarrett, Bede","Social theories of the middle ages, 1200-1500",1926,280,Social Theories Middle Ages,"Little, Brown, and company",Boston,"42.3554334,-71.060511",CB351.J,https://catalog.libraries.psu.edu/catalog/1291787,physical,"Civilization, Medieval; Medieval, 500-1500; Social history"
UG8Z3398,book,1958,"Bark, William Carroll",Origins of the medieval world,1958,162,Origins Medieval World,Stanford University Press,Stanford,"37.427467,-122.1702445",CB351 .B38,https://catalog.libraries.psu.edu/catalog/995959,physical,Middle Ages
MUFSE9NK,book,2006,"Cahill, Thomas; Cahill, Thomas","Mysteries of the Middle Ages: the rise of feminism, science, and art from the cults of Catholic Europe",2006,343,Mysteries of the Middle Ages,N.A. Talese,New York,"40.7127281,-74.0060152",CB351 .C22 2006,,physical,"History; Women; Europe; Civilization, Medieval; Art, Medieval; Middle Ages, 500-1500; Science, Medieval"
6ETU9XWR,book,1993,,Medieval Culture and Society,1993-01-01,,Medieval Culture + Society,Waveland Pr Inc,"Prospect Heights, IL","42.0953049,-87.9375694",,https://www.amazon.com/Medieval-Culture-Society-David-Herlihy/dp/0881337471,physical,"Civilization, Medieval; Middle Ages"
