"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4PV6ED9T","book","2000","Kleinschmidt, Harald","Understanding the middle ages: the transformation of ideas and attitudes in the medieval world","","978-0-85115-770-2","","","","","2000","2025-03-24 17:53:31","2025-03-24 17:53:31","","","401","","","","","Understanding the middle ages","","","","","Boydell Press","Woodbridge, UK ; Rochester, NY","","","","","","Library Catalog (Blacklight)","","","","","https://catalog.libraries.psu.edu/catalog/2023020","physical","History; Europe; Civilization, Medieval; Group identity; Medieval, 500-1500; Philosophy, Medieval; Social history; Written communication","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VPE6WK2M","book","2004","Cook, William R.; Herzman, Ronald B.","The medieval world view: an introduction","","978-0-19-513934-1 978-0-19-513935-8","","","","","2004","2025-03-24 17:53:28","2025-03-24 17:53:28","","","325","","","","","The medieval world view","","","","","Oxford University Press","New York","","","","","","Library Catalog (Blacklight)","CB351 .C58 2004","OCLC: 50339486","","","https://catalog.libraries.psu.edu/catalog/2474266","physical","Civilization, Medieval","","","","","","","","","","","","","","","","","","","","2nd ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JDF9VQE","book","1976","Erickson, Carolly","The medieval vision: essays in history and perception","","978-0-19-501964-3 978-0-19-501963-6","","","","","1976","2025-03-24 17:53:25","2025-03-24 17:53:25","","","247","","","","","The medieval vision","","","","","Oxford University Press","New York","","","","","","Library Catalog (Blacklight)","CB351 .E76","","","","https://catalog.libraries.psu.edu/catalog/1178252","physical","Civilization, Medieval; Middle Ages, 600-1500; Religious thought","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQB4GHHJ","book","1973","Cantor, Norman F.","The meaning of the Middle Ages: a sociological and cultural history","","","","","","","1973","2025-03-24 17:53:23","2025-03-24 17:53:23","","","321","","","","","The meaning of the Middle Ages","","","","","Allyn and Bacon","Boston","","","","","","Library Catalog (Blacklight)","CB351 .C25","","","","https://catalog.libraries.psu.edu/catalog/1159796","physical","Civilization, Medieval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Q92HVDW","book","1957","Laistner, M. L. W.","The intellectual heritage of the early Middle Ages","","","","","","","1957","2025-03-24 17:53:21","2025-03-24 17:53:21","","","285","","","","","","","","","","Octagon Books","New York","","","","","","Library Catalog (Blacklight)","CB351 .L26 1966","","","","https://catalog.libraries.psu.edu/catalog/1159800","physical","Intellectual life; Middle Ages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDV7CVAP","book","1926","Jarrett, Bede","Social theories of the middle ages, 1200-1500","","","","","","","1926","2025-03-24 17:53:18","2025-03-24 17:53:18","","","280","","","","","","The Library of European political thought","","","","Little, Brown, and company","Boston","","","","","","Library Catalog (Blacklight)","CB351.J","","","","https://catalog.libraries.psu.edu/catalog/1291787","physical","Civilization, Medieval; Medieval, 500-1500; Social history","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UG8Z3398","book","1958","Bark, William Carroll","Origins of the medieval world","","","","","","","1958","2025-03-24 17:53:16","2025-03-24 17:53:16","","","162","","","","","","Stanford studies in history, economics, and political science","14","","","Stanford University Press","Stanford","","","","","","Library Catalog (Blacklight)","CB351 .B38","","","","https://catalog.libraries.psu.edu/catalog/995959","physical","Middle Ages","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUFSE9NK","book","2006","Cahill, Thomas; Cahill, Thomas","Mysteries of the Middle Ages: the rise of feminism, science, and art from the cults of Catholic Europe","","978-0-385-49555-4","","","","After the long period of cultural decline known as the Dark Ages, Europe experienced a rebirth of scholarship, art, literature, philosophy, and science and began to develop a vision of Western society that remains at the heart of Western civilization today. On visits to the great cities of Europe--monumental Rome; the intellectually explosive Paris of Peter Abelard and Thomas Aquinas; the hotbed of scientific study that was Oxford; and the incomparable Florence of Dante and Giotto--Cahill captures the spirit of experimentation, the colorful pageantry, and the passionate pursuit of knowledge that built the foundations for the modern world.--From publisher description","2006","2025-03-24 17:53:14","2025-03-24 17:53:14","","","343","","","","","Mysteries of the Middle Ages","The hinges of history","v. 5","","","N.A. Talese","New York","","","","","","Library Catalog (Blacklight)","CB351 .C22 2006","OCLC: 65820500","","","","physical","History; Women; Europe; Civilization, Medieval; Art, Medieval; Middle Ages, 500-1500; Science, Medieval","","","","","","","","","","","","","","","","","","","","1st ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ETU9XWR","book","1993","","Medieval Culture and Society","","978-0-88133-747-1","","","","This anthology of judiciously selected sources concerned with medieval society and culture presents an intriguing view of Western society from its emergence as a distinctively ""European"" culture in the early Middle Ages (ca. 500-1000), to the burgeoning scholarship and literary and artistic expression of the central Middle Ages (ca. 1000-1350), and the dislocations and disasters of the closing Middle Ages (ca. 1350-1500). The documents presented for each period are intended to serve two purposes: an initial selection illustrates the society and the social milieu of the period, while the second group of readings provides examples of the chief forms of literary expression and illuminates some of the characteristic cultural attitudes of the age. Many ideas and ideals of the Middle Ages have exerted a permanent influence upon the culture of the modern world and have been a permanent source of enrichment for it. Readers will come away from this collection moved to a deeper appreciation of this truly fascinating period of history, as well as a wider interest in the rich and still living heritage of the medieval world.","1993-01-01","2025-03-24 17:53:13","2025-03-24 17:53:13","","","","","","","","","","","","","Waveland Pr Inc","","English","","","","","Amazon","","","","","https://www.amazon.com/Medieval-Culture-Society-David-Herlihy/dp/0881337471","physical","","Herlihy, David","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39XWHPDN","book","1968","Russell, Jeffrey Burton","Medieval civilization","","","","","","","1968","2025-03-24 17:53:11","2025-03-24 17:53:11","","","635","","","","","","","","","","Wiley","New York","","","","","","Library Catalog (Blacklight)","CB351 .R8","","","","https://catalog.libraries.psu.edu/catalog/765929","physical","Civilization, Medieval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
